ticker symbol;isin;security name;currency;note;
;HU0000731781;VIG Cseh Rövid Kötvény Befektetési Alap A sorozat;CZK;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000731781.json
;HU0000731799;VIG Cseh Rövid Kötvény Befektetési Alap I sorozat;CZK;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000731799.json
;HU0000732052;VIG Fejlett Piaci Rövid Kötvény Befektetési Alap UI sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732052.json
;HU0000731971;VIG Fejlett Piaci Rövid Kötvény Befektetési Alap EI sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000731971.json
;HU0000732045;VIG Fejlett Piaci Rövid Kötvény Befektetési Alap U sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732045.json
;HU0000731963;VIG Fejlett Piaci Rövid Kötvény Befektetési Alap E sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000731963.json
;HU0000735154;VIG Svájci Frank Rövid Kötvény Befektetési Alap CHF- I sorozat;CHF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000735154.json
;HU0000735147;VIG Svájci Frank Rövid Kötvény Befektetési Alap CHF-R sorozat;CHF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000735147.json
;HU0000735139;VIG Svájci Frank Rövid Kötvény Befektetési Alap HUF-R sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000735139.json
;HU0000708201;Allianz Kötvényalap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000708201.json
;HU0000706635;Amundi Magyar Kötvény Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000706635.json
;HU0000701834;Amundi Magyar Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000701834.json
;HU0000734868;Amundi Magyar Kötvény Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000734868.json
;HU0000711692;Erste DPM Nyíltvégű Nemzetközi Kötvény Alapok Alapja;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000711692.json
;HU0000707716;ERSTE Nyíltvégű XL Kötvény Befektetési Alap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000707716.json
;HU0000719521;ERSTE Nyíltvégű XL Kötvény Befektetési Alap D sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000719521.json
;HU0000702592;Eurizon Kincsem Kötvény Részalap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702592.json
;HU0000705736;Generali Hazai Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000705736.json
;HU0000702071;Generali Hazai Kötvény Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702071.json
;HU0000702857;Gránit Kötvény Befektetési Alap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702857.json
;HU0000702030;HOLD Kötvény Befektetési Alap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702030.json
;HU0000720644;K&H Kötvény Nyíltvégű Befektetési Alap F Sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000720644.json
